contract,family,freeze_time,max_raw_activity,mean_active_tpo,mean_active_volume,median_raw_activity,positive_tpo_ticks,positive_volume_ticks,profile_id,session_date,source_date,year
NQH9,prior_rth,2019-01-28T16:00:00-05:00,1.927445682166163502853093391372092098006,30.01321585903083700440528634,1679.361233480176211453744492,0.9728167494230196470234240973639019830504,227,227,109859a0960c55dc5287,2019-01-29,2019-01-28,2019
NQM9,full_overnight,2019-05-16T09:30:00-04:00,2.070538836908468940962025998087251208639,24.27868852459016393442622951,362.3934426229508196721311462,0.9916954895517992136033573445,366,366,10b95c8b81f33620853f,2019-05-16,2019-05-16,2019
NQH9,midnight,2019-02-27T09:30:00-05:00,3.702603669038420660228154142142265180092,23.66206896551724137931034483,297.1793103448275862068965518,0.4827421140099636889397740821578929231188,145,145,110df4c244c93a66a964,2019-02-27,2019-02-27,2019
NQH9,opening_hour_rth,2019-02-01T10:30:00-05:00,1.695980048188679641775426634060677003265,7.866666666666666666666666667,533.0577777777777777777777769,1.064275370180743781605999228214091887567,225,225,116b175c0344bd1922fe,2019-02-01,2019-02-01,2019
NQH9,prior_rth,2019-03-01T16:00:00-05:00,2.523296157693330313460831380711642312409,18.31687242798353909465020576,1257.855967078189300411522631,0.9087311817514801168093344121145350127098,243,243,11a518d1845d0aae88c2,2019-03-04,2019-03-01,2019
NQU9,opening_hour_rth,2019-07-18T10:30:00-04:00,3.019894162822954188507315005425238857545,7.114457831325301204819277108,506.7349397590361445783132523,0.5854529495446241730240761565,166,166,11dba2969aa221f43100,2019-07-18,2019-07-18,2019
NQU9,opening_hour_rth,2019-07-02T10:30:00-04:00,2.463966809654365780368234334159970376794,11.87209302325581395348837209,739.1744186046511627906976748,0.992323177119052826478075214,86,86,1218dad20c06ce59591e,2019-07-02,2019-07-02,2019
NQH9,opening_hour_rth,2019-02-25T10:30:00-05:00,1.791704956973629256389483389033229545517,10.09803921568627450980392157,811.5392156862745098039215685,1.203895386026810191866988792,102,102,1281745af004dda00df2,2019-02-25,2019-02-25,2019
NQZ9,prior_rth,2019-11-11T16:00:00-05:00,2.742161122007535679828755857990033388588,16.80769230769230769230769231,845.7472527472527472527472511,0.807164834183624733282860205,182,182,12b0dd1ebe5c9deca54a,2019-11-12,2019-11-11,2019
NQZ9,prior_rth,2019-12-13T16:00:00-05:00,3.944010869888100306561678988988815487673,20.80250783699059561128526646,500.5423197492163009404388696,0.7751921312559882538785533058527149253624,319,319,12cbc2a587e41394df77,2019-12-16,2019-12-13,2019
NQH9,full_overnight,2019-02-04T09:30:00-05:00,2.899515156230111850918723708662013629938,35.55483870967741935483870968,328.8903225806451612903225805,0.9292807591803342880567395066700264736239,155,155,12ee6821d1670c2d8845,2019-02-04,2019-02-04,2019
NQU9,midnight,2019-07-29T09:30:00-04:00,2.844027544197851398074205907157624580139,21.05263157894736842105263158,301.7894736842105263157894739,0.956261058255311291160278162,114,114,134bd41414aca5209a91,2019-07-29,2019-07-29,2019
NQU9,opening_hour_rth,2019-07-09T10:30:00-04:00,3.200543350571087981534441955082390563797,5.633165829145728643216080402,434.8492462311557788944723623,0.5729495588343673329575729430654912278661,199,199,137da0f4f4726b17cc8f,2019-07-09,2019-07-09,2019
NQM9,full_overnight,2019-05-14T09:30:00-04:00,3.869565353586924707652560395980963910415,20.73576309794988610478359909,312.0045558086560364464692483,0.7379598901366160285401995923404220395691,439,439,13d7f6d32687b9a72134,2019-05-14,2019-05-14,2019
NQM9,midnight,2019-04-11T09:30:00-04:00,2.913761839146200992418786950770099642673,22.06779661016949152542372881,400.5847457627118644067796609,0.7576765474449264504373441005,118,118,13e29e89498415d32249,2019-04-11,2019-04-11,2019
NQH9,prior_rth,2019-02-19T16:00:00-05:00,3.125763872415822172838559240361034989795,15.31355932203389830508474576,1019.322033898305084745762714,0.724345387870208137880220755,236,236,13f92f92767411d0efe5,2019-02-20,2019-02-19,2019
NQU9,prior_rth,2019-07-02T16:00:00-04:00,2.9758990092490563420326619631896970486,19.84581497797356828193832599,993.4889867841409691629955965,0.7059831301792005725985632645631897696257,227,227,148edaffa7a8dc06c619,2019-07-05,2019-07-02,2019
NQU9,full_overnight,2019-07-18T09:30:00-04:00,2.845884426594491199966682179865242309564,24.63392857142857142857142857,375.6160714285714285714285714,0.793111500865350934521109639,224,224,151abd50b0667f2f1fff,2019-07-18,2019-07-18,2019
NQZ9,full_overnight,2019-11-08T09:30:00-05:00,3.55186944310867711279881060051036214035,25.43269230769230769230769231,370.3124999999999999999999999,0.7247708591034575832798397425,208,208,155ab3a43ee7d97a6655,2019-11-08,2019-11-08,2019
NQU9,midnight,2019-07-23T09:30:00-04:00,2.612416089092609746486778289546165512569,16.34730538922155688622754491,254.8622754491017964071856289,0.8616298268079110880203272449420704718094,167,167,15937f5417e60719300e,2019-07-23,2019-07-23,2019
NQZ9,prior_rth,2019-09-25T16:00:00-04:00,3.141761168767072767826054367700072227408,10.35310344827586206896551724,547.3572413793103448275862043,0.9139845781905639402241650358464988354976,725,725,1602484dedce8af4d410,2019-09-26,2019-09-25,2019
NQH9,opening_hour_rth,2019-02-14T10:30:00-05:00,2.124717339667044421195973817109378082604,7.784688995215311004784688995,560.4736842105263157894736823,1.051181014284624505445473290576752001528,209,209,16bfb73aa67e44c9d650,2019-02-14,2019-02-14,2019
NQU9,prior_rth,2019-06-18T16:00:00-04:00,2.619441378088387300590102604415092745546,16.71243523316062176165803109,845.2953367875647668393782365,0.784974383750389805634790086,386,386,17cc5f893598a9db6b88,2019-06-19,2019-06-18,2019
NQZ9,opening_hour_rth,2019-10-07T10:30:00-04:00,2.136771335606767549185534175724394759359,9.1375,442.1749999999999999999999998,1.163925782558907465285140852,160,160,17cfd82216f46fb99ccd,2019-10-07,2019-10-07,2019
NQH9,midnight,2019-01-09T09:30:00-05:00,2.619471189389843840169727972261801321137,36.67295597484276729559748428,417.8490566037735849056603769,0.9238314742592591073584728869787612738204,159,159,182782f4c19f16636fda,2019-01-09,2019-01-09,2019
NQH9,prior_rth,2019-02-28T16:00:00-05:00,2.025428021510289441226604261742098214035,24.77297297297297297297297297,1532.600000000000000000000002,1.065479849044479231241616324536431186271,185,185,183d82a9c97140cf1f2c,2019-03-01,2019-02-28,2019
