bin_ratio,contiguous,contract,family,poc_inside,profile_id,relationship_id,session_date,volume_POC,volume_VAH,volume_VAL,volume_value_area_bin_count,volume_value_area_volume_share,year
0.1,true,NQH9,opening_hour_rth,true,cead05ba0a9b1ef8228d,R05,2019-01-23,6716.625,6718.5,6697.5,84,0.7029359061415781693988190001,2019
0.1,true,NQH9,prior_rth,true,cf2c39db4376cd8c562a,R01,2019-02-21,7065.625,7092,7053.25,155,0.7011987815182186952293042295,2019
0.1,true,NQH9,prior_rth,true,cf2c39db4376cd8c562a,R02,2019-02-21,7065.625,7092,7053.25,155,0.7011987815182186952293042295,2019
0.1,true,NQZ9,full_overnight,true,cf39f1f5d9de31b5c74a,R03,2019-10-16,7937.125,7946.75,7933.75,52,0.7044881903497538844902537704,2019
0.2,true,NQZ9,opening_hour_rth,true,cf42fb52e1944e9592a3,R05,2019-11-06,8194.875,8200.5,8192.25,33,0.7043897289086626905719661415,2019
0.1,true,NQU9,midnight,true,cf5fed1deb8cc28b5350,R04,2019-09-03,7634.125,7646.5,7614.25,129,0.7022495137124457915927464385,2019
0.2,true,NQH9,full_overnight,true,cf77f92bdb5d5a7af9b1,R03,2019-01-29,6668.375,6696,6662.25,135,0.7014820609370603630734499751,2019
0.1,true,NQU9,opening_hour_rth,true,cf7801d331d7accd358e,R05,2019-06-21,7758.375,7761.5,7746.5,60,0.7083146759921763982973099771,2019
0.2,true,NQZ9,opening_hour_rth,true,cfca9c5606f666b6b30f,R05,2019-10-11,7882.25,7889,7864.5,49,0.7057154479972607817452464199,2019
0.05,true,NQH9,opening_hour_rth,true,d024b1a5ac1062148dce,R05,2019-01-14,6537.875,6548,6529.75,73,0.7049189028970734092979819035,2019
0.2,true,NQM9,midnight,true,d02746a470a82782ed09,R04,2019-05-03,7774.875,7792,7766,104,0.701836220855705455013878988,2019
0.05,true,NQM9,full_overnight,true,d06eba5e14e11b0cc217,R03,2019-03-19,7366.125,7387.25,7356.5,123,0.7062354166572337153301306585,2019
0.2,true,NQH9,midnight,true,d0e39361555cb9804b88,R04,2019-03-04,7190.875,7196.25,7185.75,42,0.7086189216827220610139277384,2019
0.05,true,NQH9,midnight,true,d0edfca37c667afae682,R04,2019-02-04,6875.625,6884.25,6873.75,42,0.7190933773527536407052824143,2019
0.2,true,NQU9,full_overnight,true,d0ef7a9efdf56f1af28b,R03,2019-08-15,7525.125,7552.5,7485.75,89,0.7002271339439000617236723985,2019
0.1,true,NQM9,prior_rth,true,d1006c7543c96b54feb0,R01,2019-05-30,7227.875,7239.5,7204.5,140,0.701942685547603303442810698,2019
0.1,true,NQM9,prior_rth,true,d1006c7543c96b54feb0,R02,2019-05-30,7227.875,7239.5,7204.5,140,0.701942685547603303442810698,2019
0.05,true,NQU9,full_overnight,true,d1007b83c60d64a313f3,R03,2019-06-21,7743.625,7757.5,7739,74,0.7019875583739794983739481806,2019
0.2,true,NQU9,prior_rth,true,d11161c0bf0d06eff5ef,R01,2019-08-08,7475.125,7556.5,7463.75,53,0.7016191028655700974796586167,2019
0.2,true,NQU9,prior_rth,true,d11161c0bf0d06eff5ef,R02,2019-08-08,7475.125,7556.5,7463.75,53,0.7016191028655700974796586167,2019
0.1,true,NQH9,opening_hour_rth,true,d127badef7c0b66eaeb8,R05,2019-02-26,7131.625,7136,7107.25,115,0.7020576483853320011512101914,2019
0.2,true,NQH9,opening_hour_rth,true,d15f35803a73e2a98182,R05,2019-02-14,6991.125,7011.75,6978,45,0.7002270443200494363282971156,2019
0.05,true,NQM9,opening_hour_rth,true,d16e584e68ce520fb9ba,R05,2019-04-29,7845.125,7849.25,7837.75,46,0.7037829412520008523428203571,2019
0.1,true,NQU9,opening_hour_rth,true,d17d228509af7a807362,R05,2019-07-15,7972.625,7976,7965.5,42,0.7090948316418261723457314725,2019
0.05,true,NQZ9,midnight,true,d18f73a63a6e8121ae42,R04,2019-09-18,7902.875,7907,7898.75,33,0.7068559549938760579211641808,2019
0.1,true,NQU9,midnight,true,d1dc4cae886d631b8a5f,R04,2019-08-29,7686.625,7701.25,7650,205,0.7014280590684587731983821727,2019
0.2,true,NQM9,prior_rth,true,d2099ed64e3c4e44765f,R01,2019-05-17,7614.25,7625,7579,92,0.7028572345040595531495050094,2019
0.2,true,NQM9,prior_rth,true,d2099ed64e3c4e44765f,R02,2019-05-17,7614.25,7625,7579,92,0.7028572345040595531495050094,2019
