bin_ratio,contract,family,mean_active_tpo,mean_active_volume,positive_tpo_bins,positive_volume_bins,profile_id,relationship_id,session_date,year
0.1,NQZ9,prior_rth,13.54703832752613240418118467,830.1602787456445993031358878,287,287,e49acfc9c84e3e77b412,R02,2019-11-11,2019
0.05,NQM9,prior_rth,26.57425742574257425742574257,1472.549504950495049504950496,202,202,e4b84ffb20c06060e6a9,R01,2019-04-01,2019
0.05,NQM9,prior_rth,26.57425742574257425742574257,1472.549504950495049504950496,202,202,e4b84ffb20c06060e6a9,R02,2019-04-01,2019
0.2,NQZ9,opening_hour_rth,6.586956521739130434782608696,790.2173913043478260869565218,92,92,e5343f31a256186dbe0c,R05,2019-09-19,2019
0.05,NQH9,midnight,25.71559633027522935779816514,339.9174311926605504587155967,109,109,e54f0eed75fd5295ff0b,R04,2019-03-06,2019
0.2,NQH9,midnight,19.31288343558282208588957055,375.4723926380368098159509206,163,163,e55eeb2173486a7f4a76,R04,2019-03-07,2019
0.1,NQU9,midnight,25.65734265734265734265734266,412.3356643356643356643356642,143,143,e56f66048e92f5449c5a,R04,2019-07-11,2019
0.2,NQM9,midnight,15.18502202643171806167400881,272.4449339207048458149779737,227,227,e56feeb8631894828c91,R04,2019-06-11,2019
0.1,NQZ9,prior_rth,22.09813084112149532710280374,949.0700934579439252336448638,428,428,e581682c21c729ec0387,R01,2019-10-09,2019
0.1,NQZ9,prior_rth,22.09813084112149532710280374,949.0700934579439252336448638,428,428,e581682c21c729ec0387,R02,2019-10-09,2019
0.1,NQU9,opening_hour_rth,5.633165829145728643216080402,434.8492462311557788944723623,199,199,e5858712aba633057129,R05,2019-07-09,2019
0.1,NQH0,full_overnight,13.74789915966386554621848739,329.823529411764705882352941,238,238,e590260f1d3b3f42f202,R03,2019-12-20,2019
0.05,NQM9,prior_rth,21.33510638297872340425531915,1387.675531914893617021276602,188,188,e596d25c73ee71872bfe,R01,2019-04-12,2019
0.05,NQM9,prior_rth,21.33510638297872340425531915,1387.675531914893617021276602,188,188,e596d25c73ee71872bfe,R02,2019-04-12,2019
0.05,NQU9,prior_rth,21.2968036529680365296803653,1177.894977168949771689497718,219,219,e5e99b6a4485ff1aed14,R01,2019-08-20,2019
0.05,NQU9,prior_rth,21.2968036529680365296803653,1177.894977168949771689497718,219,219,e5e99b6a4485ff1aed14,R02,2019-08-20,2019
0.1,NQM9,prior_rth,16.90769230769230769230769231,868.5846153846153846153846138,455,455,e5ef002ac87bafa37f13,R01,2019-05-15,2019
0.1,NQM9,prior_rth,16.90769230769230769230769231,868.5846153846153846153846138,455,455,e5ef002ac87bafa37f13,R02,2019-05-15,2019
0.05,NQZ9,midnight,14.25066666666666666666666667,320.6773333333333333333333349,375,375,e5f8357ec15ae021cdef,R04,2019-12-04,2019
0.05,NQU9,prior_rth,16.71243523316062176165803109,845.2953367875647668393782365,386,386,e60653b3a14186216672,R01,2019-06-19,2019
0.05,NQU9,prior_rth,16.71243523316062176165803109,845.2953367875647668393782365,386,386,e60653b3a14186216672,R02,2019-06-19,2019
0.2,NQM9,opening_hour_rth,6.167883211678832116788321168,1047.437956204379562043795619,137,137,e60f1e59e45437261d59,R05,2019-04-26,2019
0.2,NQU9,opening_hour_rth,8.571428571428571428571428571,1019.085714285714285714285715,70,70,e64b03e66a5c4513badd,R05,2019-08-21,2019
0.2,NQU9,opening_hour_rth,8.505747126436781609195402299,1133.655172413793103448275862,87,87,e6628849c1fdd6d7f11c,R05,2019-07-30,2019
0.05,NQM9,prior_rth,16.03106796116504854368932039,937.5572815533980582524271847,515,515,e68c1774460a779c26c1,R01,2019-03-28,2019
0.05,NQM9,prior_rth,16.03106796116504854368932039,937.5572815533980582524271847,515,515,e68c1774460a779c26c1,R02,2019-03-28,2019
0.1,NQU9,midnight,20.61627906976744186046511628,343.8662790697674418604651166,172,172,e6dba7ac5639079e7413,R04,2019-07-19,2019
0.1,NQU9,full_overnight,22.18048780487804878048780488,348.1089430894308943089430914,615,615,e6e69c7ee61e1042f2dd,R03,2019-08-07,2019
0.2,NQH9,midnight,34.14285714285714285714285714,542.8482142857142857142857143,112,112,e70d1e52b5f38de38ef9,R04,2019-01-22,2019
0.2,NQM9,prior_rth,20.96319018404907975460122699,1712.889570552147239263803683,163,163,e76c24b5de127b3f5529,R01,2019-04-17,2019
0.2,NQM9,prior_rth,20.96319018404907975460122699,1712.889570552147239263803683,163,163,e76c24b5de127b3f5529,R02,2019-04-17,2019
0.2,NQU9,prior_rth,17.44642857142857142857142857,2181.928571428571428571428577,112,112,e77841076fdf72ec42ee,R01,2019-07-08,2019
0.2,NQU9,prior_rth,17.44642857142857142857142857,2181.928571428571428571428577,112,112,e77841076fdf72ec42ee,R02,2019-07-08,2019
0.1,NQU9,opening_hour_rth,12.36458333333333333333333333,901.3541666666666666666666669,96,96,e79df6eb4ffdbc02548e,R05,2019-07-11,2019
0.2,NQZ9,midnight,19.68794326241134751773049645,473.2836879432624113475177309,141,141,e7d847b6935185b6e6c2,R04,2019-11-15,2019
0.1,NQU9,midnight,28.88165680473372781065088757,396.6568047337278106508875741,169,169,e81e299303d6e3a59ed5,R04,2019-06-21,2019
0.2,NQZ9,opening_hour_rth,5.183823529411764705882352941,709.5955882352941176470588224,136,136,e830b9b33972680b7388,R05,2019-09-27,2019
0.1,NQU9,prior_rth,14.80459770114942528735632184,876.37643678160919540229885,348,348,e8359390af9a48ce481a,R01,2019-07-19,2019
0.1,NQU9,prior_rth,14.80459770114942528735632184,876.37643678160919540229885,348,348,e8359390af9a48ce481a,R02,2019-07-19,2019
0.2,NQH9,full_overnight,30.12883435582822085889570552,471.558282208588957055214724,163,163,e846f1429c0c7eb576da,R03,2019-03-07,2019
0.2,NQZ9,midnight,36.41269841269841269841269841,570.9841269841269841269841267,63,63,e85f91b7082c54c9e7e9,R04,2019-12-09,2019
0.1,NQU9,prior_rth,23.78770949720670391061452514,1966.26256983240223463687151,179,179,e899eb08f6fe6cefa7f7,R01,2019-09-04,2019
0.1,NQU9,prior_rth,23.78770949720670391061452514,1966.26256983240223463687151,179,179,e899eb08f6fe6cefa7f7,R02,2019-09-04,2019
0.05,NQU9,full_overnight,22.18048780487804878048780488,348.1089430894308943089430914,615,615,e8d1c01bd3f75680cc05,R03,2019-08-07,2019
0.1,NQH0,midnight,15.51219512195121951219512195,314.0813008130081300813008128,123,123,e8d82c198808ef65c101,R04,2019-12-23,2019
0.2,NQH9,full_overnight,37.8359375,774.8593750000000000000000004,128,128,e8e6c43f4bc242fcc7e8,R03,2019-01-10,2019
0.1,NQU9,full_overnight,42.85714285714285714285714286,475.6875000000000000000000004,112,112,e8f8db67478c812cca18,R03,2019-06-19,2019
0.2,NQZ9,opening_hour_rth,13.61538461538461538461538462,2476.615384615384615384615385,26,26,e91f257293b6a344b8bf,R05,2019-09-20,2019
0.05,NQZ9,prior_rth,22.31329113924050632911392405,1114.499999999999999999999998,316,316,e91ff7eaaf604fccf50e,R01,2019-10-14,2019
0.05,NQZ9,prior_rth,22.31329113924050632911392405,1114.499999999999999999999998,316,316,e91ff7eaaf604fccf50e,R02,2019-10-14,2019
0.1,NQM9,midnight,24.64356435643564356435643564,450.2970297029702970297029704,101,101,e938d53a99f23ecba6a3,R04,2019-04-16,2019
0.2,NQH0,prior_rth,20.15555555555555555555555556,1467.014814814814814814814816,135,135,e941a5a18829033d6eee,R01,2019-12-19,2019
0.2,NQH0,prior_rth,20.15555555555555555555555556,1467.014814814814814814814816,135,135,e941a5a18829033d6eee,R02,2019-12-19,2019
0.05,NQM9,opening_hour_rth,7.611650485436893203883495146,783.2330097087378640776699027,103,103,e945339126277d4e3614,R05,2019-04-16,2019
0.1,NQM9,full_overnight,21.53413654618473895582329317,395.2329317269076305220883531,249,249,e97f8e25f659af88f920,R03,2019-04-26,2019
0.05,NQZ9,opening_hour_rth,5.931372549019607843137254902,445.8529411764705882352941178,204,204,e992ae2ce76537d6c3db,R05,2019-10-11,2019
0.2,NQZ9,opening_hour_rth,9.384057971014492753623188406,538.6231884057971014492753622,138,138,e9c43f1f66d8e0170f12,R05,2019-10-23,2019
0.1,NQH9,opening_hour_rth,8.897590361445783132530120482,722.7590361445783132530120452,166,166,e9eeed3c4fa53e4804ad,R05,2019-02-07,2019
0.05,NQM9,prior_rth,17.10794297352342158859470468,1003.454175152749490835030549,491,491,e9f4258a21f202385e22,R01,2019-05-03,2019
0.05,NQM9,prior_rth,17.10794297352342158859470468,1003.454175152749490835030549,491,491,e9f4258a21f202385e22,R02,2019-05-03,2019
0.1,NQZ9,full_overnight,18.81932773109243697478991597,268.7226890756302521008403366,476,476,ea08ade7258b5fe2cabf,R03,2019-10-08,2019
0.2,NQM9,prior_rth,16.86597938144329896907216495,1290.01718213058419243986254,291,291,ea301a21208b93d8c580,R01,2019-04-26,2019
0.2,NQM9,prior_rth,16.86597938144329896907216495,1290.01718213058419243986254,291,291,ea301a21208b93d8c580,R02,2019-04-26,2019
0.05,NQM9,full_overnight,20.73576309794988610478359909,312.0045558086560364464692485,439,439,ea3635192ac6423bc908,R03,2019-05-14,2019
0.05,NQZ9,opening_hour_rth,9.425742574257425742574257426,690.168316831683168316831683,101,101,ea4539ac4fd8300c6002,R05,2019-11-06,2019
0.2,NQM9,midnight,17.1935483870967741935483871,369.7741935483870967741935481,186,186,ea59b80f182701071981,R04,2019-04-26,2019
0.1,NQU9,full_overnight,54.73626373626373626373626374,844.9890109890109890109890109,91,91,ea70899fd7a6ee66481e,R03,2019-07-31,2019
0.05,NQU9,prior_rth,18.01265822784810126582278481,762.2278481012658227848101278,237,237,ea73ff1fc2ad78c31471,R01,2019-06-18,2019
0.05,NQU9,prior_rth,18.01265822784810126582278481,762.2278481012658227848101278,237,237,ea73ff1fc2ad78c31471,R02,2019-06-18,2019
0.05,NQH9,midnight,22.79310344827586206896551724,367.0057471264367816091954024,174,174,ea8b02531f165684a68b,R04,2019-02-07,2019
0.05,NQM9,midnight,12.77506112469437652811735941,248.6625916870415647921760381,409,409,eae290fe5352cc3082af,R04,2019-05-07,2019
0.2,NQZ9,prior_rth,12.62307692307692307692307692,820.6384615384615384615384608,260,260,eb0584efe9a1ad9cff8a,R01,2019-12-10,2019
0.2,NQZ9,prior_rth,12.62307692307692307692307692,820.6384615384615384615384608,260,260,eb0584efe9a1ad9cff8a,R02,2019-12-10,2019
0.05,NQZ9,opening_hour_rth,5.355029585798816568047337278,349.4556213017751479289940828,338,338,eb2c407b88615cc6d301,R05,2019-10-01,2019
0.05,NQU9,opening_hour_rth,7.06,496.9450000000000000000000002,200,200,eb359e5763446e56a0e3,R05,2019-06-26,2019
0.2,NQM9,full_overnight,25.91262135922330097087378641,1349.165048543689320388349517,103,103,eb45f697411c09edf305,R03,2019-05-07,2019
0.1,NQU9,opening_hour_rth,10.7247706422018348623853211,627.8440366972477064220183486,109,109,eb5ee5dfee20e40cc150,R05,2019-06-24,2019
0.2,NQU9,opening_hour_rth,7.38,993.8899999999999999999999997,100,100,eb74113b126492fd8043,R05,2019-06-26,2019
0.2,NQM9,midnight,23.48780487804878048780487805,476.6097560975609756097560975,123,123,eb859f340045a2db3ba2,R04,2019-03-15,2019
0.05,NQH9,full_overnight,24.95604395604395604395604396,303.9780219780219780219780219,182,182,eba11d31e5565b2538d3,R03,2019-02-05,2019
0.05,NQU9,midnight,25.98198198198198198198198198,367.7117117117117117117117118,222,222,ebad19d43f5700bb1a11,R04,2019-09-11,2019
0.1,NQM9,opening_hour_rth,11.48039215686274509803921569,742.921568627450980392156863,102,102,ebbc90e1ac746db81b3f,R05,2019-03-14,2019
0.2,NQZ9,prior_rth,23.65972222222222222222222222,2820.847222222222222222222225,144,144,ebc07e43c3c060d00798,R01,2019-10-09,2019
0.2,NQZ9,prior_rth,23.65972222222222222222222222,2820.847222222222222222222225,144,144,ebc07e43c3c060d00798,R02,2019-10-09,2019
0.1,NQU9,prior_rth,24.5625,2240.441964285714285714285717,224,224,ebc568385922f4196a41,R01,2019-08-07,2019
0.1,NQU9,prior_rth,24.5625,2240.441964285714285714285717,224,224,ebc568385922f4196a41,R02,2019-08-07,2019
0.05,NQU9,full_overnight,31.75806451612903225806451613,378.7849462365591397849462358,372,372,ebcbe7ab41b5a8ca7762,R03,2019-08-08,2019
0.05,NQZ9,full_overnight,26.44360902255639097744360902,433.4060150375939849624060148,133,133,ebf77c785c734c2bb593,R03,2019-11-27,2019
0.2,NQM9,prior_rth,27.84705882352941176470588235,3733.152941176470588235294115,85,85,ebf8e130047d10d1fcb8,R01,2019-04-10,2019
0.2,NQM9,prior_rth,27.84705882352941176470588235,3733.152941176470588235294115,85,85,ebf8e130047d10d1fcb8,R02,2019-04-10,2019
0.2,NQH9,opening_hour_rth,8.819277108433734939759036145,1116.759036144578313253012048,83,83,ebfed9fd1b0d2bab0f40,R05,2019-02-13,2019
0.2,NQZ9,prior_rth,14.23936170212765957446808511,909.5372340425531914893617021,188,188,ec1c0e14c2709a1a603f,R01,2019-12-02,2019
0.2,NQZ9,prior_rth,14.23936170212765957446808511,909.5372340425531914893617021,188,188,ec1c0e14c2709a1a603f,R02,2019-12-02,2019
0.1,NQM9,prior_rth,28.40064102564102564102564103,1428.509615384615384615384617,312,312,ec1eae6609ed59171646,R01,2019-03-26,2019
0.1,NQM9,prior_rth,28.40064102564102564102564103,1428.509615384615384615384617,312,312,ec1eae6609ed59171646,R02,2019-03-26,2019
0.05,NQM9,opening_hour_rth,14.79207920792079207920792079,451.0297029702970297029702973,101,101,ec20eafa73680a1404d7,R05,2019-06-14,2019
0.1,NQZ9,opening_hour_rth,5.517857142857142857142857143,365.3303571428571428571428567,224,224,ec308809d5abd411fc59,R05,2019-12-10,2019
0.05,NQU9,opening_hour_rth,8.904109589041095890410958904,497.447488584474885844748863,219,219,ec343e8be508399beb69,R05,2019-08-26,2019
0.1,NQM9,opening_hour_rth,8.24,751.4960000000000000000000001,125,125,ec38a8cb2c91ec4ea4b5,R05,2019-04-24,2019
0.05,NQM9,midnight,13.91428571428571428571428571,218.7952380952380952380952379,210,210,ec41e7f04ad7fddcc933,R04,2019-03-13,2019
0.1,NQH9,prior_rth,12.14965986394557823129251701,1168.979591836734693877551021,441,441,ec7007e4c860c0ad5854,R01,2019-01-07,2019
0.1,NQH9,prior_rth,12.14965986394557823129251701,1168.979591836734693877551021,441,441,ec7007e4c860c0ad5854,R02,2019-01-07,2019
0.05,NQH9,full_overnight,34.265625,387.4296875000000000000000001,256,256,ec7b6845a78f14878546,R03,2019-01-10,2019
0.05,NQZ9,prior_rth,31.39644970414201183431952663,1595.585798816568047337278109,169,169,ec7ddfc981a1a1cafbf8,R01,2019-11-22,2019
0.05,NQZ9,prior_rth,31.39644970414201183431952663,1595.585798816568047337278109,169,169,ec7ddfc981a1a1cafbf8,R02,2019-11-22,2019
0.05,NQM9,full_overnight,26.828125,424.0338541666666666666666688,384,384,ecaa41bf0106019a648b,R03,2019-05-08,2019
0.2,NQU9,prior_rth,13.3531746031746031746031746,1318.424603174603174603174602,252,252,ed19f66318632b3fa005,R01,2019-07-22,2019
0.2,NQU9,prior_rth,13.3531746031746031746031746,1318.424603174603174603174602,252,252,ed19f66318632b3fa005,R02,2019-07-22,2019
0.2,NQM9,opening_hour_rth,6.195402298850574712643678161,1307.310344827586206896551724,87,87,ed2289853f0969f1c91b,R05,2019-05-10,2019
0.2,NQM9,midnight,16.24285714285714285714285714,284.0071428571428571428571427,140,140,ed28a82dff9c87a28ad9,R04,2019-03-19,2019
0.2,NQZ9,full_overnight,27.32203389830508474576271186,384.6779661016949152542372882,236,236,ed325d1350d8ffd4445c,R03,2019-09-26,2019
0.05,NQM9,opening_hour_rth,5.986666666666666666666666667,428.2733333333333333333333337,150,150,ed911b5d578362b356a6,R05,2019-04-22,2019
0.1,NQH9,prior_rth,12.93871866295264623955431755,757.7103064066852367688022262,359,359,edb586bb7917cd1a02d4,R01,2019-02-05,2019
0.1,NQH9,prior_rth,12.93871866295264623955431755,757.7103064066852367688022262,359,359,edb586bb7917cd1a02d4,R02,2019-02-05,2019
