population,volume,displacement,horizon_bars,control_arm,treated_events,control_events,treated_continued_pct,control_continued_pct,difference_pp,full_years_agreeing,consistent,underpowered,treated_2019,treated_2021,treated_2023,treated_2025
POC,extreme,1.0_1.5,30,C02_ACTIVITY_MATCHED,3,4,33.33,25.00,8.33,1/4,False,True,0.00,0.00,100.00,
POC,extreme,1.0_1.5,60,C01_NEUTRAL,3,3,33.33,66.67,-33.34,1/4,False,True,0.00,0.00,100.00,
POC,extreme,1.0_1.5,60,C02_ACTIVITY_MATCHED,3,4,33.33,25.00,8.33,0/4,False,True,0.00,0.00,100.00,
POC,extreme,gt_1.5,15,C01_NEUTRAL,496,509,53.23,50.88,2.35,3/4,True,False,46.83,52.46,55.37,58.27
POC,extreme,gt_1.5,15,C02_ACTIVITY_MATCHED,496,370,53.23,54.59,-1.36,2/4,False,False,46.83,52.46,55.37,58.27
POC,extreme,gt_1.5,30,C01_NEUTRAL,496,509,54.23,50.88,3.35,4/4,True,False,56.35,58.20,51.24,51.18
POC,extreme,gt_1.5,30,C02_ACTIVITY_MATCHED,496,368,54.23,51.63,2.60,3/4,True,False,56.35,58.20,51.24,51.18
POC,extreme,gt_1.5,60,C01_NEUTRAL,485,498,56.49,54.62,1.87,3/4,True,False,53.17,55.65,58.47,58.73
POC,extreme,gt_1.5,60,C02_ACTIVITY_MATCHED,485,357,56.49,52.38,4.11,4/4,True,False,53.17,55.65,58.47,58.73
POC,undefined,gt_1.5,15,C01_NEUTRAL,23,22,60.87,63.64,-2.77,1/4,False,True,20.00,75.00,71.43,66.67
POC,undefined,gt_1.5,15,C02_ACTIVITY_MATCHED,23,18,60.87,61.11,-0.24,2/4,False,True,20.00,75.00,71.43,66.67
POC,undefined,gt_1.5,30,C01_NEUTRAL,22,21,54.55,61.90,-7.35,2/4,False,True,60.00,28.57,71.43,66.67
POC,undefined,gt_1.5,30,C02_ACTIVITY_MATCHED,22,18,54.55,50.00,4.55,2/4,False,True,60.00,28.57,71.43,66.67
POC,undefined,gt_1.5,60,C01_NEUTRAL,22,21,54.55,57.14,-2.59,1/4,False,True,40.00,42.86,71.43,66.67
POC,undefined,gt_1.5,60,C02_ACTIVITY_MATCHED,22,18,54.55,50.00,4.55,2/4,False,True,40.00,42.86,71.43,66.67
