population,anchor,volume,horizon_bars,control_arm,treated_events,control_events,treated_continued_pct,control_continued_pct,difference_pp,full_years_agreeing,consistent,underpowered,treated_2019,treated_2021,treated_2023,treated_2025
NONPOC,R02,elevated,30,C01_NEUTRAL,23,25,47.83,40.00,7.83,3/4,False,True,100.00,55.56,75.00,22.22
NONPOC,R02,elevated,30,C02_ACTIVITY_MATCHED,23,17,47.83,47.06,0.77,3/4,False,True,100.00,55.56,75.00,22.22
NONPOC,R02,elevated,60,C01_NEUTRAL,23,25,60.87,52.00,8.87,3/4,False,True,100.00,77.78,100.00,22.22
NONPOC,R02,elevated,60,C02_ACTIVITY_MATCHED,23,16,60.87,56.25,4.62,3/4,False,True,100.00,77.78,100.00,22.22
NONPOC,R03,elevated,15,C01_NEUTRAL,19,25,42.11,48.00,-5.89,2/4,False,True,33.33,16.67,66.67,57.14
NONPOC,R03,elevated,15,C02_ACTIVITY_MATCHED,19,27,42.11,48.15,-6.04,2/4,False,True,33.33,16.67,66.67,57.14
NONPOC,R03,elevated,30,C01_NEUTRAL,19,25,52.63,56.00,-3.37,1/4,False,True,33.33,0.00,100.00,85.71
NONPOC,R03,elevated,30,C02_ACTIVITY_MATCHED,19,27,52.63,59.26,-6.63,2/4,False,True,33.33,0.00,100.00,85.71
NONPOC,R03,elevated,60,C01_NEUTRAL,19,25,57.89,56.00,1.89,3/4,False,True,33.33,16.67,100.00,85.71
NONPOC,R03,elevated,60,C02_ACTIVITY_MATCHED,19,26,57.89,61.54,-3.65,2/4,False,True,33.33,16.67,100.00,85.71
NONPOC,R04,elevated,15,C01_NEUTRAL,8,11,37.50,36.36,1.14,0/4,False,True,,50.00,,33.33
NONPOC,R04,elevated,15,C02_ACTIVITY_MATCHED,8,9,37.50,55.56,-18.06,1/4,False,True,,50.00,,33.33
NONPOC,R04,elevated,30,C01_NEUTRAL,8,11,37.50,36.36,1.14,0/4,False,True,,0.00,,50.00
NONPOC,R04,elevated,30,C02_ACTIVITY_MATCHED,8,9,37.50,55.56,-18.06,1/4,False,True,,0.00,,50.00
NONPOC,R04,elevated,60,C01_NEUTRAL,8,11,50.00,54.55,-4.55,1/4,False,True,,50.00,,50.00
NONPOC,R04,elevated,60,C02_ACTIVITY_MATCHED,8,9,50.00,55.56,-5.56,1/4,False,True,,50.00,,50.00
NONPOC,R05,elevated,15,C01_NEUTRAL,15,15,60.00,66.67,-6.67,2/4,False,True,66.67,50.00,50.00,100.00
NONPOC,R05,elevated,15,C02_ACTIVITY_MATCHED,15,12,60.00,58.33,1.67,1/4,False,True,66.67,50.00,50.00,100.00
NONPOC,R05,elevated,30,C01_NEUTRAL,14,14,28.57,35.71,-7.14,2/4,False,True,33.33,50.00,20.00,0.00
NONPOC,R05,elevated,30,C02_ACTIVITY_MATCHED,14,11,28.57,54.55,-25.98,2/4,False,True,33.33,50.00,20.00,0.00
NONPOC,R05,elevated,60,C01_NEUTRAL,14,14,50.00,42.86,7.14,1/4,False,True,33.33,25.00,60.00,100.00
NONPOC,R05,elevated,60,C02_ACTIVITY_MATCHED,14,11,50.00,72.73,-22.73,3/4,False,True,33.33,25.00,60.00,100.00
NONPOC,R01,extreme,15,C01_NEUTRAL,63,61,50.79,50.82,-0.03,1/4,False,False,57.14,61.54,42.11,47.06
NONPOC,R01,extreme,15,C02_ACTIVITY_MATCHED,63,58,50.79,48.28,2.51,3/4,True,False,57.14,61.54,42.11,47.06
NONPOC,R01,extreme,30,C01_NEUTRAL,63,61,41.27,39.34,1.93,2/4,False,False,57.14,53.85,31.58,29.41
NONPOC,R01,extreme,30,C02_ACTIVITY_MATCHED,63,58,41.27,44.83,-3.56,1/4,False,False,57.14,53.85,31.58,29.41
NONPOC,R01,extreme,60,C01_NEUTRAL,57,56,54.39,42.86,11.53,4/4,True,False,57.14,75.00,46.67,43.75
NONPOC,R01,extreme,60,C02_ACTIVITY_MATCHED,57,51,54.39,52.94,1.45,2/4,False,False,57.14,75.00,46.67,43.75
