population,volume,displacement,efficiency,horizon_bars,control_arm,treated_events,control_events,treated_continued_pct,control_continued_pct,difference_pp,full_years_agreeing,consistent,underpowered,treated_2019,treated_2021,treated_2023,treated_2025
NONPOC,extreme,gt_1.5,medium,30,C01_NEUTRAL,64,63,46.88,49.21,-2.33,1/4,False,False,50.00,47.83,45.45,45.00
NONPOC,extreme,gt_1.5,medium,30,C02_ACTIVITY_MATCHED,64,60,46.88,55.00,-8.12,2/4,False,False,50.00,47.83,45.45,45.00
NONPOC,extreme,gt_1.5,medium,60,C01_NEUTRAL,62,61,59.68,54.10,5.58,3/4,True,False,70.00,52.17,70.00,57.89
NONPOC,extreme,gt_1.5,medium,60,C02_ACTIVITY_MATCHED,62,59,59.68,54.24,5.44,4/4,True,False,70.00,52.17,70.00,57.89
NONPOC,extreme,gt_1.5,high,15,C01_NEUTRAL,12,15,58.33,60.00,-1.67,3/4,False,True,33.33,0.00,66.67,80.00
NONPOC,extreme,gt_1.5,high,15,C02_ACTIVITY_MATCHED,12,11,58.33,36.36,21.97,2/4,False,True,33.33,0.00,66.67,80.00
NONPOC,extreme,gt_1.5,high,30,C01_NEUTRAL,12,15,41.67,60.00,-18.33,2/4,False,True,0.00,100.00,0.00,80.00
NONPOC,extreme,gt_1.5,high,30,C02_ACTIVITY_MATCHED,12,11,41.67,45.45,-3.78,1/4,False,True,0.00,100.00,0.00,80.00
NONPOC,extreme,gt_1.5,high,60,C01_NEUTRAL,12,15,50.00,46.67,3.33,1/4,False,True,0.00,100.00,0.00,100.00
NONPOC,extreme,gt_1.5,high,60,C02_ACTIVITY_MATCHED,12,11,50.00,45.45,4.55,1/4,False,True,0.00,100.00,0.00,100.00
NONPOC,undefined,gt_1.5,low,15,C01_NEUTRAL,12,9,41.67,55.56,-13.89,2/4,False,True,50.00,33.33,66.67,25.00
NONPOC,undefined,gt_1.5,low,15,C02_ACTIVITY_MATCHED,12,13,41.67,53.85,-12.18,3/4,False,True,50.00,33.33,66.67,25.00
NONPOC,undefined,gt_1.5,low,30,C01_NEUTRAL,12,9,50.00,88.89,-38.89,3/4,False,True,50.00,33.33,100.00,25.00
NONPOC,undefined,gt_1.5,low,30,C02_ACTIVITY_MATCHED,12,13,50.00,38.46,11.54,3/4,False,True,50.00,33.33,100.00,25.00
NONPOC,undefined,gt_1.5,low,60,C01_NEUTRAL,12,9,75.00,88.89,-13.89,2/4,False,True,50.00,100.00,100.00,50.00
NONPOC,undefined,gt_1.5,low,60,C02_ACTIVITY_MATCHED,12,13,75.00,76.92,-1.92,1/4,False,True,50.00,100.00,100.00,50.00
NONPOC,undefined,gt_1.5,medium,15,C01_NEUTRAL,8,9,50.00,55.56,-5.56,0/4,False,True,0.00,100.00,0.00,50.00
NONPOC,undefined,gt_1.5,medium,15,C02_ACTIVITY_MATCHED,8,8,50.00,37.50,12.50,1/4,False,True,0.00,100.00,0.00,50.00
NONPOC,undefined,gt_1.5,medium,30,C01_NEUTRAL,8,9,37.50,44.44,-6.94,1/4,False,True,50.00,0.00,100.00,50.00
NONPOC,undefined,gt_1.5,medium,30,C02_ACTIVITY_MATCHED,8,8,37.50,62.50,-25.00,2/4,False,True,50.00,0.00,100.00,50.00
NONPOC,undefined,gt_1.5,medium,60,C01_NEUTRAL,7,8,28.57,25.00,3.57,0/4,False,True,50.00,0.00,100.00,0.00
NONPOC,undefined,gt_1.5,medium,60,C02_ACTIVITY_MATCHED,7,8,28.57,50.00,-21.43,2/4,False,True,50.00,0.00,100.00,0.00
POC,below_normal,0.5_1.0,low,15,C01_NEUTRAL,8,11,12.50,54.55,-42.05,3/4,False,True,50.00,0.00,0.00,0.00
POC,below_normal,0.5_1.0,low,15,C02_ACTIVITY_MATCHED,8,2,12.50,100.00,-87.50,2/4,False,True,50.00,0.00,0.00,0.00
POC,below_normal,0.5_1.0,low,30,C01_NEUTRAL,8,11,0.00,72.73,-72.73,3/4,False,True,0.00,0.00,0.00,0.00
POC,below_normal,0.5_1.0,low,30,C02_ACTIVITY_MATCHED,8,2,0.00,100.00,-100.00,2/4,False,True,0.00,0.00,0.00,0.00
