relationship_id,control_family,allocation_method,bin_ratio,prominence_threshold,year,count,mean,median,standard_deviation,iqr,expected_sign_share,ci_low,ci_high
R02,C01,uniform_bar_volume,0.2,1.5,2025,1,0.2,0.2,,0,1,0.2,0.2
R02,C02,tpo_range_occupancy,0.05,1.5,2021,3,0.08888888888888888888888888887,0.03333333333333333333333333334,0.1261979632400060802420519552,0.1166666666666666666666666666,0.6666666666666666666666666667,0,0.2333333333333333333333333333
R02,C02,tpo_range_occupancy,0.05,1.5,2025,1,0.2666666666666666666666666667,0.2666666666666666666666666667,,0,1,0.2666666666666666666666666667,0.2666666666666666666666666667
R02,C02,tpo_range_occupancy,0.1,1.5,2021,1,0.2,0.2,,0,1,0.2,0.2
R02,C02,tpo_range_occupancy,0.1,1.5,2025,1,0.2333333333333333333333333333,0.2333333333333333333333333333,,0,1,0.2333333333333333333333333333,0.2333333333333333333333333333
R02,C02,tpo_range_occupancy,0.2,1.5,2019,1,-0.1,-0.1,,0,0,-0.1,-0.1
R02,C02,uniform_bar_volume,0.05,1.5,2021,7,0.02857142857142857142857142857,0.0333333333333333333333333333,0.1747257866747221976877501541,0.1333333333333333333333333333,0.5714285714285714285714285714,-0.09047619047619047619047619049,0.1476190476190476190476190476
R02,C02,uniform_bar_volume,0.05,1.5,2023,1,-0.1333333333333333333333333333,-0.1333333333333333333333333333,,0,0,-0.1333333333333333333333333333,-0.1333333333333333333333333333
R02,C02,uniform_bar_volume,0.05,1.5,2025,2,-0.06666666666666666666666666665,-0.0666666666666666666666666666,0.1885618083164126731735584966,0.1333333333333333333333333333,0.5,-0.2,0.06666666666666666666666666667
R02,C02,uniform_bar_volume,0.1,1.5,2021,5,0.1066666666666666666666666667,0.0666666666666666666666666667,0.1011050059206873407234243391,0.0666666666666666666666666667,0.8,0.04000000000000000000000000002,0.1866666666666666666666666667
R02,C02,uniform_bar_volume,0.1,1.5,2026,1,0.1666666666666666666666666667,0.1666666666666666666666666667,,0,1,0.1666666666666666666666666667,0.1666666666666666666666666667
R02,C02,uniform_bar_volume,0.1,2,2025,1,0.2,0.2,,0,1,0.2,0.2
R02,C02,uniform_bar_volume,0.2,1.5,2019,1,-0.3666666666666666666666666666,-0.3666666666666666666666666666,,0,0,-0.3666666666666666666666666666,-0.3666666666666666666666666666
R02,C02,uniform_bar_volume,0.2,1.5,2021,1,-0.4333333333333333333333333333,-0.4333333333333333333333333333,,0,0,-0.4333333333333333333333333333,-0.4333333333333333333333333333
