anchor,arm,bars_11-20_pct,bars_121+_pct,bars_1_pct,bars_21-60_pct,bars_2_pct,bars_3_pct,bars_4_pct,bars_5_pct,bars_6-10_pct,bars_61-120_pct,censored,censored_pct,events,median_bars,never_reached,never_reached_pct,p90_bars,population,reached,reached_pct,session,threshold,underpowered
R04,TREATED,7.69,0,76.92,0,15.38,0,0,0,0,0,0,0,13,1,0,0,2,NONPOC,13,100,RTH_OPEN,3atr,true
R05,TREATED,17.95,0,8.97,16.67,8.97,10.26,7.69,10.26,19.23,0,0,0,78,6,0,0,26,NONPOC,78,100,ALL_SESSIONS,3atr,false
R05,TREATED,50,0,0,0,0,0,0,0,50,0,0,0,2,13,0,0,8,NONPOC,2,100,RTH_AFTERNOON,3atr,true
R05,TREATED,16.67,0,0,50,0,0,0,16.67,16.67,0,0,0,12,21,0,0,47,NONPOC,12,100,RTH_MIDDAY,3atr,true
R05,TREATED,17.19,0,10.94,10.94,10.94,12.5,9.38,9.38,18.75,0,0,0,64,5,0,0,20,NONPOC,64,100,RTH_MORNING,3atr,false
ALL_ANCHORS,C01_NEUTRAL,5.36,5.86,46.63,7.36,8.23,5.99,3.87,2.99,9.48,3.74,3,0.37,802,2,1,0.12,56,POC,798,99.5,ALL_SESSIONS,3atr,false
ALL_ANCHORS,C01_NEUTRAL,6.1,47.56,1.22,17.07,2.44,2.44,0,1.22,6.1,15.85,0,0,82,92,0,0,436,POC,82,100,ETH_EVENING,3atr,false
ALL_ANCHORS,C01_NEUTRAL,12.5,14.58,4.17,31.25,0,0,0,0,6.25,27.08,2,4.17,48,53,0,0,122,POC,46,95.83,ETH_OVERNIGHT,3atr,false
ALL_ANCHORS,C01_NEUTRAL,3.57,0,42.86,7.14,10.71,7.14,7.14,3.57,10.71,0,1,3.57,28,2,1,3.57,10,POC,26,92.86,RTH_AFTERNOON,3atr,true
ALL_ANCHORS,C01_NEUTRAL,4.76,0,21.43,19.05,2.38,14.29,4.76,4.76,26.19,2.38,0,0,42,7,0,0,35,POC,42,100,RTH_MIDDAY,3atr,false
ALL_ANCHORS,C01_NEUTRAL,13.78,0.51,20.92,9.18,12.76,6.63,8.16,7.14,19.39,1.53,0,0,196,5,0,0,21,POC,196,100,RTH_MORNING,3atr,false
ALL_ANCHORS,C01_NEUTRAL,0.49,0,76.11,0.49,8.62,6.16,2.71,1.48,3.94,0,0,0,406,1,0,0,3,POC,406,100,RTH_OPEN,3atr,false
R01,C01_NEUTRAL,8.46,35.38,2.31,22.31,1.54,1.54,0,0.77,6.15,20,2,1.54,130,73,0,0,352,POC,128,98.46,ALL_SESSIONS,3atr,false
R01,C01_NEUTRAL,6.1,47.56,1.22,17.07,2.44,2.44,0,1.22,6.1,15.85,0,0,82,92,0,0,436,POC,82,100,ETH_EVENING,3atr,false
R01,C01_NEUTRAL,12.5,14.58,4.17,31.25,0,0,0,0,6.25,27.08,2,4.17,48,53,0,0,122,POC,46,95.83,ETH_OVERNIGHT,3atr,false
R02,C01_NEUTRAL,6.67,0,25.83,5.83,16.67,15.83,8.33,5,15,0.83,0,0,120,3,0,0,13,POC,120,100,ALL_SESSIONS,3atr,false
R02,C01_NEUTRAL,0,0,60,0,40,0,0,0,0,0,0,0,5,1,0,0,2,POC,5,100,RTH_AFTERNOON,3atr,true
R02,C01_NEUTRAL,7.14,0,7.14,28.57,0,14.29,7.14,0,28.57,7.14,0,0,14,9,0,0,39,POC,14,100,RTH_MIDDAY,3atr,true
R02,C01_NEUTRAL,26.32,0,15.79,10.53,10.53,5.26,10.53,15.79,5.26,0,0,0,19,5,0,0,17,POC,19,100,RTH_MORNING,3atr,true
R02,C01_NEUTRAL,2.44,0,29.27,1.22,19.51,19.51,8.54,3.66,15.85,0,0,0,82,3,0,0,8,POC,82,100,RTH_OPEN,3atr,false
R03,C01_NEUTRAL,0,0,74.3,1.12,8.94,7.26,2.79,1.12,4.47,0,0,0,179,1,0,0,3,POC,179,100,ALL_SESSIONS,3atr,false
R03,C01_NEUTRAL,0,0,28.57,14.29,14.29,14.29,0,0,28.57,0,0,0,7,3,0,0,10,POC,7,100,RTH_AFTERNOON,3atr,true
R03,C01_NEUTRAL,0,0,57.14,0,0,0,14.29,0,28.57,0,0,0,7,1,0,0,6,POC,7,100,RTH_MIDDAY,3atr,true
R03,C01_NEUTRAL,0,0,37.5,0,18.75,18.75,6.25,6.25,12.5,0,0,0,16,2,0,0,5,POC,16,100,RTH_MORNING,3atr,true
R03,C01_NEUTRAL,0,0,81.21,0.67,8.05,6.04,2.01,0.67,1.34,0,0,0,149,1,0,0,3,POC,149,100,RTH_OPEN,3atr,false
R04,C01_NEUTRAL,0,0,91,0,4,1,1.5,1.5,1,0,0,0,200,1,0,0,1,POC,200,100,ALL_SESSIONS,3atr,false
R04,C01_NEUTRAL,0,0,83.33,0,0,0,16.67,0,0,0,0,0,6,1,0,0,1,POC,6,100,RTH_AFTERNOON,3atr,true
R04,C01_NEUTRAL,0,0,75,0,0,25,0,0,0,0,0,0,4,1,0,0,1,POC,4,100,RTH_MIDDAY,3atr,true
R04,C01_NEUTRAL,0,0,66.67,0,6.67,6.67,6.67,6.67,6.67,0,0,0,15,1,0,0,4,POC,15,100,RTH_MORNING,3atr,true
R04,C01_NEUTRAL,0,0,93.71,0,4,0,0.57,1.14,0.57,0,0,0,175,1,0,0,1,POC,175,100,RTH_OPEN,3atr,false
R05,C01_NEUTRAL,13.87,0.58,14.45,12.14,11.56,6.94,7.51,6.94,23.12,1.73,1,0.58,173,6,1,0.58,23,POC,171,98.84,ALL_SESSIONS,3atr,false
R05,C01_NEUTRAL,10,0,20,10,0,10,10,10,10,0,1,10,10,5,1,10,16,POC,8,80,RTH_AFTERNOON,3atr,true
R05,C01_NEUTRAL,5.88,0,5.88,23.53,5.88,17.65,0,11.76,29.41,0,0,0,17,8,0,0,35,POC,17,100,RTH_MIDDAY,3atr,true
R05,C01_NEUTRAL,15.07,0.68,15.07,10.96,13.01,5.48,8.22,6.16,23.29,2.05,0,0,146,6,0,0,22,POC,146,100,RTH_MORNING,3atr,false
ALL_ANCHORS,C02_ACTIVITY_MATCHED,6.43,4.28,47.28,7.25,8.57,4.78,5.6,2.31,9.23,4.28,0,0,607,2,0,0,41,POC,607,100,ALL_SESSIONS,3atr,false
ALL_ANCHORS,C02_ACTIVITY_MATCHED,6.25,37.5,4.69,14.06,0,1.56,0,0,12.5,23.44,0,0,64,81,0,0,364,POC,64,100,ETH_EVENING,3atr,false
ALL_ANCHORS,C02_ACTIVITY_MATCHED,18.75,6.25,3.12,34.38,0,3.12,0,3.12,3.12,28.12,0,0,32,40,0,0,95,POC,32,100,ETH_OVERNIGHT,3atr,false
ALL_ANCHORS,C02_ACTIVITY_MATCHED,5.26,0,26.32,15.79,15.79,0,10.53,0,26.32,0,0,0,19,4,0,0,30,POC,19,100,RTH_AFTERNOON,3atr,true
ALL_ANCHORS,C02_ACTIVITY_MATCHED,20.59,0,20.59,14.71,11.76,8.82,8.82,0,14.71,0,0,0,34,6,0,0,23,POC,34,100,RTH_MIDDAY,3atr,false
ALL_ANCHORS,C02_ACTIVITY_MATCHED,9.4,0,19.46,10.74,14.09,8.72,10.74,6.04,19.46,1.34,0,0,149,4,0,0,23,POC,149,100,RTH_MORNING,3atr,false
ALL_ANCHORS,C02_ACTIVITY_MATCHED,2.27,0,78.32,0,7.77,3.56,4.21,1.29,2.59,0,0,0,309,1,0,0,4,POC,309,100,RTH_OPEN,3atr,false
R01,C02_ACTIVITY_MATCHED,10.42,27.08,4.17,20.83,0,2.08,0,1.04,9.38,25,0,0,96,62,0,0,294,POC,96,100,ALL_SESSIONS,3atr,false
R01,C02_ACTIVITY_MATCHED,6.25,37.5,4.69,14.06,0,1.56,0,0,12.5,23.44,0,0,64,81,0,0,364,POC,64,100,ETH_EVENING,3atr,false
R01,C02_ACTIVITY_MATCHED,18.75,6.25,3.12,34.38,0,3.12,0,3.12,3.12,28.12,0,0,32,40,0,0,95,POC,32,100,ETH_OVERNIGHT,3atr,false
R02,C02_ACTIVITY_MATCHED,12.5,0,26.14,6.82,15.91,12.5,6.82,4.55,14.77,0,0,0,88,3,0,0,17,POC,88,100,ALL_SESSIONS,3atr,false
R02,C02_ACTIVITY_MATCHED,0,0,0,25,50,0,0,0,25,0,0,0,4,10,0,0,10,POC,4,100,RTH_AFTERNOON,3atr,true
R02,C02_ACTIVITY_MATCHED,30,0,10,10,10,20,0,0,20,0,0,0,10,7,0,0,20,POC,10,100,RTH_MIDDAY,3atr,true
R02,C02_ACTIVITY_MATCHED,15.38,0,7.69,30.77,7.69,7.69,7.69,7.69,15.38,0,0,0,13,6,0,0,30,POC,13,100,RTH_MORNING,3atr,true
R02,C02_ACTIVITY_MATCHED,9.84,0,34.43,0,16.39,13.11,8.2,4.92,13.11,0,0,0,61,2,0,0,10,POC,61,100,RTH_OPEN,3atr,false
R03,C02_ACTIVITY_MATCHED,1.59,0,72.22,0.79,10.32,3.17,7.14,0.79,3.97,0,0,0,126,1,0,0,4,POC,126,100,ALL_SESSIONS,3atr,false
R03,C02_ACTIVITY_MATCHED,0,0,25,0,0,0,25,0,50,0,0,0,4,8,0,0,8,POC,4,100,RTH_AFTERNOON,3atr,true
R03,C02_ACTIVITY_MATCHED,25,0,25,0,0,25,0,0,25,0,0,0,4,8,0,0,8,POC,4,100,RTH_MIDDAY,3atr,true
R03,C02_ACTIVITY_MATCHED,0,0,54.55,9.09,9.09,0,9.09,0,18.18,0,0,0,11,1,0,0,9,POC,11,100,RTH_MORNING,3atr,true
