anchor,approach_side,arm,continued,continued_pct,evaluated_events,horizon_minutes,population,returned_inside,returned_inside_pct,session,threshold,underpowered
R05,APPROACH_FROM_ABOVE,C01_NEUTRAL,4,57.14,7,30,NONPOC,6,85.71,ALL_SESSIONS,5atr,true
R05,APPROACH_FROM_ABOVE,C01_NEUTRAL,1,25,4,30,NONPOC,4,100,RTH_MIDDAY,5atr,true
R05,APPROACH_FROM_ABOVE,C01_NEUTRAL,3,100,3,30,NONPOC,2,66.67,RTH_MORNING,5atr,true
ALL_ANCHORS,APPROACH_FROM_BELOW,C01_NEUTRAL,30,48.39,62,30,NONPOC,44,70.97,ALL_SESSIONS,5atr,false
ALL_ANCHORS,APPROACH_FROM_BELOW,C01_NEUTRAL,3,37.5,8,30,NONPOC,6,75,ETH_EVENING,5atr,true
ALL_ANCHORS,APPROACH_FROM_BELOW,C01_NEUTRAL,3,60,5,30,NONPOC,3,60,ETH_OVERNIGHT,5atr,true
ALL_ANCHORS,APPROACH_FROM_BELOW,C01_NEUTRAL,0,0,2,30,NONPOC,2,100,RTH_AFTERNOON,5atr,true
ALL_ANCHORS,APPROACH_FROM_BELOW,C01_NEUTRAL,0,0,2,30,NONPOC,2,100,RTH_MIDDAY,5atr,true
ALL_ANCHORS,APPROACH_FROM_BELOW,C01_NEUTRAL,11,55,20,30,NONPOC,11,55,RTH_MORNING,5atr,true
ALL_ANCHORS,APPROACH_FROM_BELOW,C01_NEUTRAL,13,52,25,30,NONPOC,20,80,RTH_OPEN,5atr,true
R01,APPROACH_FROM_BELOW,C01_NEUTRAL,6,46.15,13,30,NONPOC,9,69.23,ALL_SESSIONS,5atr,true
R01,APPROACH_FROM_BELOW,C01_NEUTRAL,3,37.5,8,30,NONPOC,6,75,ETH_EVENING,5atr,true
R01,APPROACH_FROM_BELOW,C01_NEUTRAL,3,60,5,30,NONPOC,3,60,ETH_OVERNIGHT,5atr,true
R02,APPROACH_FROM_BELOW,C01_NEUTRAL,9,60,15,30,NONPOC,10,66.67,ALL_SESSIONS,5atr,true
R02,APPROACH_FROM_BELOW,C01_NEUTRAL,0,0,1,30,NONPOC,1,100,RTH_MIDDAY,5atr,true
R02,APPROACH_FROM_BELOW,C01_NEUTRAL,3,75,4,30,NONPOC,2,50,RTH_MORNING,5atr,true
R02,APPROACH_FROM_BELOW,C01_NEUTRAL,6,60,10,30,NONPOC,7,70,RTH_OPEN,5atr,true
R03,APPROACH_FROM_BELOW,C01_NEUTRAL,7,50,14,30,NONPOC,11,78.57,ALL_SESSIONS,5atr,true
R03,APPROACH_FROM_BELOW,C01_NEUTRAL,1,33.33,3,30,NONPOC,2,66.67,RTH_MORNING,5atr,true
R03,APPROACH_FROM_BELOW,C01_NEUTRAL,6,54.55,11,30,NONPOC,9,81.82,RTH_OPEN,5atr,true
R04,APPROACH_FROM_BELOW,C01_NEUTRAL,1,14.29,7,30,NONPOC,7,100,ALL_SESSIONS,5atr,true
R04,APPROACH_FROM_BELOW,C01_NEUTRAL,0,0,1,30,NONPOC,1,100,RTH_AFTERNOON,5atr,true
R04,APPROACH_FROM_BELOW,C01_NEUTRAL,0,0,2,30,NONPOC,2,100,RTH_MORNING,5atr,true
R04,APPROACH_FROM_BELOW,C01_NEUTRAL,1,25,4,30,NONPOC,4,100,RTH_OPEN,5atr,true
